 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses (0.0.0.0)
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.1.9:8080 (Press CTRL+C to quit)
192.168.1.11 - - [21/Sep/2022 23:55:21] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:24] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:24] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:27] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:27] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:30] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:30] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:55:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:55:32] "GET /static/index.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:55:33] "GET /favicon.ico HTTP/1.1" 404 -
192.168.1.11 - - [21/Sep/2022 23:55:33] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:33] "GET /api/poll_metrics HTTP/1.1" 200 -
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
Address already in use
Port 8080 is in use by another program. Either identify and stop that program, or start the server with a different port.
127.0.0.1 - - [21/Sep/2022 23:55:36] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:36] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:36] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:55:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:55:38] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:55:39] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:39] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:39] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:39] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:55:42] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:55:42] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:42] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:44] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:44] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:55:44] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:45] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:55:45] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:55:45] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:45] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:45] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:55:45] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:45] "GET /static/index.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Sep/2022 23:55:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:55:47] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:55:48] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:49] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:51] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:55:51] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:52] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:54] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:55] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:57] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:58] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:00] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:01] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:03] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:04] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:06] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:07] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:09] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:10] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:11] "GET /static/index.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:11] "GET /favicon.ico HTTP/1.1" 404 -
192.168.1.11 - - [21/Sep/2022 23:56:12] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:13] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:14] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:15] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:15] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:15] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:56:16] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:18] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:19] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:19] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:20] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:21] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:22] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:22] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:24] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:24] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:56:24] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:25] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:27] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:27] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:28] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:30] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:30] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:31] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:32] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:32] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:56:33] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:34] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:35] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:36] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:36] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:56:36] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:39] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:56:39] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:56:39] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:31] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:31] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:34] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:34] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:37] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:37] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:33:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:33:38] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [22/Sep/2022 07:33:40] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:40] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:33:41] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:42] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:43] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:45] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:33:45] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:33:48] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:49] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:33:51] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:52] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:33:54] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:55] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:33:57] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:33:58] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:00] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:01] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:03] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:04] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:06] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:07] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:09] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:10] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:12] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:13] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:15] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:16] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:18] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:19] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:21] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:22] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:24] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:25] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:27] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:28] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:30] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:31] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:33] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:34] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:36] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:36] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:37] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:39] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:40] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:42] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:43] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:45] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:46] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:48] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:49] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:51] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:52] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:54] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:55] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:34:57] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:34:58] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:00] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:01] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:03] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:04] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:06] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:07] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:09] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:10] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:12] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:13] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:15] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:16] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:18] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:19] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:21] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:22] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:24] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:25] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:27] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:28] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:30] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:31] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:33] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:34] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:36] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:36] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:37] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:39] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:40] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:42] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:43] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:45] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:46] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:48] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:49] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:51] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:52] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:54] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:55] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:35:57] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:35:58] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:00] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:01] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:03] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:04] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:06] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:07] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:09] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:10] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:12] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:13] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:15] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:16] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:18] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:19] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:21] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:22] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:24] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:25] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:27] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:28] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:30] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:31] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:33] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:34] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:36] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:36] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:37] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:39] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:40] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:42] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:43] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:45] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [22/Sep/2022 07:36:46] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [22/Sep/2022 07:36:48] "GET /api/poll_metrics HTTP/1.1" 200 -
